Cylinders,Displacement,Horsepower,Weight,Acceleration,Model Year,acc_on_power,acc_on_cyl
4.0,83.0,61.0,2003.0,19.0,74.0,0.3114754098360656,4.75
4.0,79.0,67.0,2000.0,16.0,74.0,0.23880597014925373,4.0
4.0,156.0,92.0,2585.0,14.5,82.0,0.15760869565217392,3.625
6.0,250.0,88.0,3139.0,14.5,71.0,0.16477272727272727,2.4166666666666665
4.0,98.0,90.0,2265.0,15.5,73.0,0.17222222222222222,3.875
4.0,91.0,67.0,1965.0,15.0,82.0,0.22388059701492538,3.75
8.0,350.0,175.0,4100.0,13.0,73.0,0.07428571428571429,1.625
4.0,151.0,88.0,2740.0,16.0,77.0,0.18181818181818182,4.0
8.0,400.0,180.0,4220.0,11.1,77.0,0.06166666666666666,1.3875
6.0,250.0,110.0,3520.0,16.4,77.0,0.14909090909090908,2.733333333333333
4.0,91.0,67.0,1995.0,16.2,82.0,0.2417910447761194,4.05
8.0,318.0,145.0,4140.0,13.7,77.0,0.09448275862068965,1.7125
6.0,250.0,105.0,3353.0,14.5,76.0,0.1380952380952381,2.4166666666666665
4.0,97.0,46.0,1950.0,21.0,73.0,0.45652173913043476,5.25
4.0,68.0,49.0,1867.0,19.5,73.0,0.3979591836734694,4.875
8.0,360.0,170.0,4654.0,13.0,73.0,0.07647058823529412,1.625
4.0,151.0,90.0,3003.0,20.1,80.0,0.22333333333333336,5.025
4.0,116.0,75.0,2158.0,15.5,73.0,0.20666666666666667,3.875
4.0,120.0,75.0,2542.0,17.5,80.0,0.23333333333333334,4.375
6.0,250.0,72.0,3158.0,19.5,75.0,0.2708333333333333,3.25
4.0,121.0,110.0,2660.0,14.0,73.0,0.12727272727272726,3.5
8.0,351.0,153.0,4129.0,13.0,72.0,0.08496732026143791,1.625
4.0,140.0,72.0,2565.0,13.6,76.0,0.18888888888888888,3.4
6.0,250.0,78.0,3574.0,21.0,76.0,0.2692307692307692,3.5
8.0,304.0,150.0,4257.0,15.5,74.0,0.10333333333333333,1.9375
8.0,350.0,180.0,3664.0,11.0,73.0,0.06111111111111111,1.375
4.0,97.0,78.0,2300.0,14.5,74.0,0.1858974358974359,3.625
6.0,168.0,116.0,2900.0,12.6,81.0,0.10862068965517241,2.1
8.0,318.0,150.0,4190.0,13.0,76.0,0.08666666666666667,1.625
8.0,350.0,145.0,4440.0,14.0,75.0,0.09655172413793103,1.75
4.0,85.0,70.0,2070.0,18.6,78.0,0.26571428571428574,4.65
6.0,250.0,105.0,3897.0,18.5,75.0,0.1761904761904762,3.0833333333333335
4.0,140.0,92.0,2905.0,14.3,80.0,0.15543478260869567,3.575
4.0,96.0,69.0,2189.0,18.0,72.0,0.2608695652173913,4.5
8.0,318.0,140.0,3735.0,13.2,78.0,0.09428571428571428,1.65
6.0,163.0,125.0,3140.0,13.6,78.0,0.1088,2.2666666666666666
4.0,119.0,97.0,2405.0,14.9,78.0,0.15360824742268042,3.725
6.0,199.0,90.0,2648.0,15.0,70.0,0.16666666666666666,2.5
4.0,97.0,88.0,2100.0,16.5,72.0,0.1875,4.125
4.0,134.0,95.0,2560.0,14.2,78.0,0.14947368421052631,3.55
8.0,302.0,140.0,4638.0,16.0,74.0,0.11428571428571428,2.0
8.0,305.0,130.0,3840.0,15.4,79.0,0.11846153846153847,1.925
8.0,302.0,129.0,3169.0,12.0,75.0,0.09302325581395349,1.5
5.0,131.0,103.0,2830.0,15.9,78.0,0.15436893203883495,3.18
4.0,98.0,68.0,2135.0,16.6,78.0,0.24411764705882355,4.15
6.0,181.0,110.0,2945.0,16.4,82.0,0.14909090909090908,2.733333333333333
6.0,145.0,76.0,3160.0,19.6,81.0,0.2578947368421053,3.266666666666667
4.0,97.0,75.0,2265.0,18.2,77.0,0.24266666666666667,4.55
4.0,97.0,92.0,2288.0,17.0,72.0,0.18478260869565216,4.25
4.0,107.0,75.0,2210.0,14.4,81.0,0.192,3.6
4.0,85.0,70.0,1990.0,17.0,76.0,0.24285714285714285,4.25
4.0,98.0,65.0,2045.0,16.2,81.0,0.24923076923076923,4.05
8.0,400.0,230.0,4278.0,9.5,73.0,0.041304347826086954,1.1875
4.0,105.0,70.0,2150.0,14.9,79.0,0.21285714285714286,3.725
8.0,305.0,145.0,3425.0,13.2,78.0,0.09103448275862068,1.65
8.0,318.0,140.0,4080.0,13.7,78.0,0.09785714285714285,1.7125
6.0,200.0,85.0,3070.0,16.7,78.0,0.19647058823529412,2.783333333333333
6.0,225.0,85.0,3465.0,16.6,81.0,0.19529411764705884,2.766666666666667
4.0,97.0,75.0,2155.0,16.4,76.0,0.21866666666666665,4.1
4.0,140.0,88.0,2870.0,18.1,80.0,0.2056818181818182,4.525
4.0,116.0,75.0,2246.0,14.0,74.0,0.18666666666666668,3.5
6.0,163.0,133.0,3410.0,15.8,78.0,0.11879699248120301,2.6333333333333333
6.0,200.0,88.0,3060.0,17.1,81.0,0.19431818181818183,2.85
6.0,232.0,100.0,2945.0,16.0,73.0,0.16,2.6666666666666665
8.0,390.0,190.0,3850.0,8.5,70.0,0.04473684210526316,1.0625
4.0,151.0,84.0,2635.0,16.4,81.0,0.1952380952380952,4.1
4.0,140.0,92.0,2865.0,16.4,82.0,0.1782608695652174,4.1
4.0,108.0,75.0,2265.0,15.2,80.0,0.20266666666666666,3.8
4.0,119.0,97.0,2300.0,14.7,78.0,0.1515463917525773,3.675
6.0,232.0,100.0,2634.0,13.0,71.0,0.13,2.1666666666666665
4.0,91.0,68.0,1985.0,16.0,81.0,0.23529411764705882,4.0
4.0,116.0,81.0,2220.0,16.9,76.0,0.20864197530864195,4.225
4.0,110.0,87.0,2672.0,17.5,70.0,0.20114942528735633,4.375
8.0,351.0,152.0,4215.0,12.8,76.0,0.08421052631578947,1.6
4.0,122.0,86.0,2395.0,16.0,72.0,0.18604651162790697,4.0
6.0,250.0,100.0,3278.0,18.0,73.0,0.18,3.0
4.0,98.0,70.0,2120.0,15.5,80.0,0.22142857142857142,3.875
6.0,231.0,165.0,3445.0,13.4,78.0,0.08121212121212121,2.2333333333333334
4.0,86.0,65.0,2110.0,17.9,80.0,0.27538461538461534,4.475
3.0,70.0,97.0,2330.0,13.5,72.0,0.13917525773195877,4.5
6.0,231.0,110.0,3039.0,15.0,75.0,0.13636363636363635,2.5
8.0,302.0,129.0,3725.0,13.4,79.0,0.10387596899224806,1.675
4.0,119.0,92.0,2434.0,15.0,80.0,0.16304347826086957,3.75
4.0,97.0,88.0,2279.0,19.0,73.0,0.2159090909090909,4.75
4.0,89.0,62.0,2050.0,17.3,81.0,0.27903225806451615,4.325
4.0,86.0,65.0,2019.0,16.4,80.0,0.2523076923076923,4.1
4.0,140.0,78.0,2592.0,18.5,75.0,0.23717948717948717,4.625
8.0,351.0,158.0,4363.0,13.0,73.0,0.08227848101265822,1.625
6.0,231.0,115.0,3245.0,15.4,79.0,0.13391304347826088,2.566666666666667
6.0,200.0,85.0,2965.0,15.8,78.0,0.18588235294117647,2.6333333333333333
4.0,140.0,72.0,2401.0,19.5,73.0,0.2708333333333333,4.875
8.0,307.0,130.0,4098.0,14.0,72.0,0.1076923076923077,1.75
8.0,318.0,150.0,3436.0,11.0,70.0,0.07333333333333333,1.375
4.0,85.0,52.0,2035.0,22.2,76.0,0.4269230769230769,5.55
4.0,91.0,68.0,1970.0,17.6,82.0,0.25882352941176473,4.4
8.0,304.0,150.0,3433.0,12.0,70.0,0.08,1.5
4.0,135.0,84.0,2385.0,12.9,81.0,0.15357142857142858,3.225
4.0,97.0,88.0,2130.0,14.5,71.0,0.16477272727272727,3.625
4.0,71.0,65.0,1773.0,19.0,71.0,0.2923076923076923,4.75
4.0,120.0,97.0,2506.0,14.5,72.0,0.14948453608247422,3.625
6.0,232.0,100.0,2914.0,16.0,75.0,0.16,2.6666666666666665
6.0,258.0,110.0,3632.0,18.0,74.0,0.16363636363636364,3.0
4.0,112.0,88.0,2395.0,18.0,82.0,0.20454545454545456,4.5
8.0,302.0,139.0,3570.0,12.8,78.0,0.0920863309352518,1.6
